0,Save 10 and Free Worldwide Shipping at Ridge Wallets by using offer code LINUS at https www ridge com LINUS,0
1,Great review especially the part where you said We don t talk about BugSnax here,1
2,imo astro s playroom deserves more credit it was absolutely incredible from start to finish loved the 1994 throwback boss and all the nods to the history of playstation would love to play a full astro at one point,0
3,Forget trimming your nose hair WAX it when you get your haircut But in reality one day I ll get a PS5 and maybe I might wait until the thermal notes are addressed I love my launchday PS4 but thanks to scalpers and scarcity am being forced to wait on the PS5 lol,0
4,Sounds like we need Linus to review Bugsnax,0
5,Linus i got an idea i will use your cable ties on my dirtbike so it will be better and faster by 10 B,0
6,hahahaha I feel good on my PC MASTER RACE,0
7,Is it really that hard to put the simple stand on the system or did they just not want to bother,0
8,Rather have a pc than a Xbox gamepass also not sure its really worth 15 a month Lot of quantity over quiet issue,1
9,Sony put up one of a hell good rounded line up Ehhh excuse me The launch titles on BOTH console are terrible Remake of a 11 year game and Ratchet and Clank cap at 30fps in 1 year for Sony Fucking nothing for Xbox at launch and Halo infinity in 1 year That GARBAGE on BOTH side,0
10,i think it s great that LTT is making a video because PlayStation will probably take his thoughts into consideration,0
11,These drawbacks sound huge,0
12,Currently none of the exclusives on PS5 have me interested enough to buy a PS5 but given that Xbox has no exclusives if you re on Windows 10 I see no reason to buy an Xbox for a PC gamer,0
13,I am much more interested in a femboy s perspecitve,0
14,All gaming companies dont care about the consumers opinion and wants they just care about their wallets,0
15,This is why i Love PC gaming,2
16,Its definitely a tell tale sign that if Sony doesn t finally add reverse compatibility for games covering past generations by the time were halfway through this new generation that they definitely have no plans to just let us play everything on one system and they want you to only play games on original hardware,1
17,IDK but I personally don t want Sony to put their focus on on PS1 2 and 3 games The reason why you get a PS5 is to play next gen games I think that s probably what hurt the XBSX launch they focused too much on the past and messed up on giving the gamers real next gen games,0
18,So glad i didnt buy a ps5 Also gonna cancel my psnow on pc 720p is just so bad,1
19,just don t buy next gen consoles on launch personally I would wait one year at least,2
20,15 47 awesomeness,0
21,you guys didn t made the all in one pc still waiting I think its the best time now to make a all in one pc having ps5 Xbox and hard core gaming pc in one,2
22,To the linus tech tips team I dare you to remake the 10k gaming setup with Samsung G9 monitors and 3 rtx 3090s Anyways love the vids,0
23,Hol up a minute why don t u guys talk about Bugsnax,0
24,Who wants a watercooled ps5 video,0
25,PlayStation 5 Review A Femboy s Perspective,1
26,David might not be a writer but you should get your employees to write a video every once in a while Speaking of which it has been a while since Taran made a video for the LTT channel,0
